Organization,Followed On
Architypes Talent Ltd,Sat Mar 21 16:53:49 UTC 2026
Madrid Urban & Cities Design,Sat Mar 21 16:39:26 UTC 2026
Studio Tim Fu,Sat Mar 21 16:34:03 UTC 2026
Speckle,Sat Mar 14 22:53:02 UTC 2026
Harvard Urban AI,Fri Mar 06 08:23:23 UTC 2026
Council on Vertical Urbanism (CVU),Fri Feb 27 08:15:40 UTC 2026
Council on Vertical Urbanism(CVU) Iberia Chapter,Fri Feb 27 08:15:31 UTC 2026
City Syntax Lab,Tue Feb 17 19:16:11 UTC 2026
Urban Climate Design Lab,Tue Feb 17 19:14:55 UTC 2026
Centro de Urbanismo CDU,Sun Feb 01 13:32:01 UTC 2026
Cesium,Mon Dec 22 22:16:19 UTC 2025
Apache Sedona,Mon Dec 22 22:15:49 UTC 2025
Laboratorio de Ideas Sostenibles,Fri Dec 05 12:57:49 UTC 2025
Urban MOSAIC Lab,Fri Nov 28 13:15:06 UTC 2025
Máster en Ciudades Inteligentes y Sostenibles - UCM,Fri Nov 21 17:36:52 UTC 2025
IDDTEK,Thu Nov 20 18:01:33 UTC 2025
Systemiq Ltd.,Thu Nov 20 11:24:14 UTC 2025
KnowUrbanNet,Thu Nov 20 00:18:21 UTC 2025
Urban Studies Journal,Wed Nov 19 21:48:58 UTC 2025
"CITY: analysis of urban change, theory, action",Wed Nov 19 21:48:49 UTC 2025
MedCities / MedCités,Wed Nov 19 12:10:45 UTC 2025
NTT DATA,Tue Nov 18 21:00:00 UTC 2025
NUS Urban Analytics Lab,Mon Nov 17 14:13:14 UTC 2025
Google Maps Platform,Sat Nov 15 15:30:05 UTC 2025
"LA FACTORÍA, gestión y consultoría",Fri Nov 14 11:32:53 UTC 2025
ARNAIZ,Thu Nov 13 22:41:21 UTC 2025
Project for Public Spaces,Wed Nov 12 12:56:44 UTC 2025
Mott MacDonald,Fri Nov 07 22:21:13 UTC 2025
Urban Living Lab Center,Thu Oct 23 17:46:20 UTC 2025
Institute for Urban Excellence,Thu Oct 23 17:44:57 UTC 2025
European Urban Knowledge Network,Mon Oct 20 21:05:49 UTC 2025
VisualUrb,Sat Oct 18 09:41:28 UTC 2025
Azora,Thu Oct 16 16:37:28 UTC 2025
UNDP Careers,Thu Oct 16 15:41:41 UTC 2025
WSP,Wed Oct 15 16:45:30 UTC 2025
Harvard University Graduate School of Design,Sun Oct 12 14:42:30 UTC 2025
KPMG Real Estate,Sun Oct 12 14:34:23 UTC 2025
Muppy,Sun Oct 12 14:30:05 UTC 2025
Take Point Real Estate,Sun Oct 12 14:28:38 UTC 2025
Euro-Funding,Sun Oct 12 14:06:23 UTC 2025
Atelier itd,Sat Oct 11 14:54:59 UTC 2025
Centro de Innovación en Tecnología para el Desarrollo Humano itdUPM,Sat Oct 11 14:45:52 UTC 2025
Urban Partners,Fri Oct 10 14:17:19 UTC 2025
snapland,Thu Oct 09 15:32:57 UTC 2025
LAND,Wed Oct 08 18:45:15 UTC 2025
Finch,Wed Oct 08 16:13:50 UTC 2025
urbanAlibi,Tue Oct 07 20:48:00 UTC 2025
Healthy Cities.,Mon Oct 06 20:32:18 UTC 2025
Bax Innovation,Mon Oct 06 20:30:40 UTC 2025
CITYMAKERS,Mon Oct 06 12:22:30 UTC 2025
Ubilabs,Mon Oct 06 12:00:30 UTC 2025
DELT·A,Sun Oct 05 10:45:51 UTC 2025
Red Española de Ciudades Inteligentes (RECI),Sun Oct 05 10:38:46 UTC 2025
datos.gob.es - Dirección General del Dato,Sun Oct 05 10:30:45 UTC 2025
MB3,Sun Oct 05 10:30:36 UTC 2025
Chapman Taylor Madrid Studio,Sun Oct 05 10:29:20 UTC 2025
SICE,Sun Oct 05 10:22:38 UTC 2025
EY-Parthenon,Sun Oct 05 10:07:17 UTC 2025
MIT Norman B. Leventhal Center for Advanced Urbanism,Fri Oct 03 18:27:59 UTC 2025
C40 Cities Europe,Fri Oct 03 11:35:39 UTC 2025
Dark Matter Labs,Fri Oct 03 11:35:37 UTC 2025
MMMAPA,Wed Oct 01 10:19:22 UTC 2025
Urban Planning,Tue Sep 30 12:16:26 UTC 2025
PROES Consultores,Wed Sep 24 12:02:14 UTC 2025
PERALTA URBANISME,Wed Sep 24 12:00:54 UTC 2025
IDOM | Consulting,Tue Sep 23 18:39:39 UTC 2025
Smart City Expo Kuala Lumpur,Fri Sep 19 10:15:24 UTC 2025
Deutsches Institut für Urbanistik (Difu),Wed Sep 17 11:03:43 UTC 2025
Urban Future,Wed Sep 17 11:03:37 UTC 2025
Energy Cities,Wed Sep 17 10:50:56 UTC 2025
Urban Design Forum,Wed Sep 17 10:47:54 UTC 2025
EIT Urban Mobility,Wed Sep 17 10:42:01 UTC 2025
POLIS network,Wed Sep 17 10:41:06 UTC 2025
New European Bauhaus,Wed Sep 17 10:35:41 UTC 2025
NetZeroCitiesEU,Wed Sep 17 10:35:36 UTC 2025
PLATFORMA,Wed Sep 17 10:18:28 UTC 2025
Jobs in Brussels,Wed Sep 17 10:18:26 UTC 2025
Talent Hub for Cities and Regions,Wed Sep 17 10:17:40 UTC 2025
Council of European Municipalities and Regions (CEMR),Wed Sep 17 10:16:52 UTC 2025
ALMAR CONSULTING,Wed Sep 17 09:50:35 UTC 2025
RCCyP Arquitectura y Planeamiento,Wed Sep 17 07:43:33 UTC 2025
Grupo SC,Wed Sep 17 07:42:23 UTC 2025
AtkinsRéalis,Tue Sep 16 20:13:47 UTC 2025
Grupo GIS-Omicron,Tue Sep 16 17:07:22 UTC 2025
GIP Europe des projets architecturaux et urbains,Tue Sep 16 15:45:45 UTC 2025
Europan Europe,Tue Sep 16 15:41:26 UTC 2025
"LANDLAB, laboratorio de paisajes",Tue Sep 16 15:41:05 UTC 2025
WSP Global,Tue Sep 23 18:39:31 UTC 2025
TerritorisXLM,Tue Sep 16 15:17:01 UTC 2025
Accumin Intelligence Real Estate Solutions,Tue Sep 16 15:14:13 UTC 2025
"SVAM Arquitectos y Consultores, S.L.P.",Tue Sep 16 15:06:37 UTC 2025
Colectivo CCRS,Tue Sep 16 15:02:52 UTC 2025
Spacio,Tue Sep 16 13:15:43 UTC 2025
unmap,Tue Sep 16 13:13:00 UTC 2025
Consultores Urbanísticos,Tue Sep 16 13:12:42 UTC 2025
Piperty,Tue Sep 16 13:12:30 UTC 2025
CONURMA Ingenieros Consultores,Mon Sep 15 19:33:18 UTC 2025
Arcadis,Mon Sep 15 19:24:35 UTC 2025
Cities at KTH,Mon Sep 15 19:24:01 UTC 2025
CARNET,Mon Sep 15 19:23:50 UTC 2025
ArchiTech Network,Mon Sep 15 19:10:35 UTC 2025
Marvel,Mon Sep 15 18:36:11 UTC 2025
Pratt Center for Community Development,Mon Sep 15 18:32:16 UTC 2025
Perkins&Will,Mon Sep 15 18:32:11 UTC 2025
Grimshaw,Mon Sep 15 18:32:11 UTC 2025
Savills España,Mon Sep 15 18:13:11 UTC 2025
CBRE España,Mon Sep 15 18:13:05 UTC 2025
Clikalia,Mon Sep 15 18:13:03 UTC 2025
Savills,Mon Sep 15 12:12:59 UTC 2025
Fundación Conama,Mon Sep 15 12:11:33 UTC 2025
SÓLIDA,Mon Sep 15 12:11:24 UTC 2025
GAIAMBIENTE,Mon Sep 15 12:11:15 UTC 2025
Centro de Observación y Teledetección Espacial S.A.U. - COTESA,Mon Sep 15 12:10:45 UTC 2025
Smart Dataprod,Mon Sep 15 12:10:12 UTC 2025
Ayesa,Mon Sep 15 12:10:03 UTC 2025
Buchanan Consultores,Mon Sep 15 12:09:56 UTC 2025
La Urbanoteca,Mon Sep 15 12:09:47 UTC 2025
"Metropolis, World Association of the Major Metropolises",Mon Sep 15 11:32:33 UTC 2025
Raona,Mon Sep 15 11:30:55 UTC 2025
Libelium,Thu Sep 11 06:01:12 UTC 2025
ESMARTCITY,Thu Sep 11 06:00:12 UTC 2025
unica360 data intelligence,Thu Sep 11 05:56:11 UTC 2025
TYPSA,Wed Sep 10 12:41:03 UTC 2025
HOK,Tue Sep 09 09:53:13 UTC 2025
Norman Foster Institute,Tue Sep 09 09:52:42 UTC 2025
IES Ltd.,Mon Sep 08 18:54:12 UTC 2025
Khora Urban Thinkers,Mon Sep 08 18:52:43 UTC 2025
"G4 Group Architecture, Engineering and Design",Mon Sep 08 18:50:59 UTC 2025
ICLEI Europe,Mon Sep 08 08:04:38 UTC 2025
United Cities and Local Governments (UCLG),Fri Sep 05 17:59:06 UTC 2025
spacelab_,Fri Sep 05 16:08:33 UTC 2025
Aedas,Fri Sep 05 13:23:09 UTC 2025
Aedes,Fri Sep 05 13:22:46 UTC 2025
Future Cities Laboratory Global,Fri Sep 05 12:01:29 UTC 2025
BABLE Smart Cities,Fri Sep 05 11:58:30 UTC 2025
Integrating Cities,Tue Sep 02 18:47:50 UTC 2025
European Urban Initiative,Tue Sep 02 18:46:16 UTC 2025
"IDOM Consulting, Engineering, Architecture",Sun Aug 31 19:49:17 UTC 2025
Ezquiaga Arquitectura Sociedad y Territorio SL.,Sun Aug 31 19:48:40 UTC 2025
KPF,Sun Aug 31 16:05:02 UTC 2025
Digital+Sustainable Innovation Lab,Sun Aug 31 15:58:46 UTC 2025
Integrated Projects,Sun Aug 31 15:57:11 UTC 2025
Civic Data Design Lab,Sun Aug 31 15:36:16 UTC 2025
Spatial Pixel,Sun Aug 31 15:30:17 UTC 2025
Invest in Open Infrastructure,Sun Aug 31 15:25:00 UTC 2025
Superbloom,Sun Aug 31 15:24:23 UTC 2025
LG유플러스 (LG Uplus),Sun Aug 31 15:19:29 UTC 2025
Barcelona Institute for Global Health (ISGlobal),Sun Aug 31 15:10:48 UTC 2025
IOM - UN Migration,Sun Aug 31 15:09:13 UTC 2025
Bofill Taller de Arquitectura,Sun Aug 31 15:05:24 UTC 2025
Clean Cities ClimAccelerator,Sun Aug 31 11:25:50 UTC 2025
CDP,Sat Aug 30 22:49:09 UTC 2025
CARTO,Sat Aug 30 16:31:49 UTC 2025
Graphics,Sat Aug 30 11:11:58 UTC 2025
"Queens, a puzzle by LinkedIn",Sat Aug 30 10:59:20 UTC 2025
"Tango, a puzzle by LinkedIn",Sat Aug 30 10:56:57 UTC 2025
"Zip, a puzzle by LinkedIn",Sat Aug 30 10:54:21 UTC 2025
Pla Estratègic Metropolità de Barcelona (PEMB),Thu Aug 28 09:43:30 UTC 2025
Gehl - Making Cities for People,Wed Aug 27 18:23:24 UTC 2025
The Academy of Urbanism (AoU),Wed Aug 27 17:41:18 UTC 2025
TC Cuadernos- revista de arquitectura,Wed Aug 27 17:41:10 UTC 2025
Centre for Cities,Wed Aug 27 17:41:03 UTC 2025
Urban Design Group,Wed Aug 27 17:41:01 UTC 2025
Instituto Geográfico Nacional de España y O.A. CNIG,Sun Aug 24 12:59:12 UTC 2025
COTA CERO Estudios Urbanos y Territoriales SLP,Sun Aug 24 12:58:51 UTC 2025
International Federation of Landscape Architects (IFLA),Sun Aug 24 12:58:01 UTC 2025
IFLA AFRICA (Landscape architecture),Sun Aug 24 12:57:47 UTC 2025
paisatge.org,Sun Aug 24 12:57:33 UTC 2025
AECOM,Sun Aug 24 12:56:58 UTC 2025
The World Bank,Sat Aug 23 14:52:19 UTC 2025
MIT Senseable City Lab,Mon Aug 18 15:11:55 UTC 2025
UNESCO Chair in Urban Landscape,Mon Aug 18 15:11:49 UTC 2025
Center for Digital Visual Studies - University of Zurich - Max Planck Society,Mon Aug 18 15:11:18 UTC 2025
Esri España,Mon Aug 18 10:07:53 UTC 2025
MASS MADERA Built-by-nature,Wed Aug 06 19:14:47 UTC 2025
Smart&City Solutions,Thu Jul 03 15:16:50 UTC 2025
urbanNext,Wed May 07 22:05:35 UTC 2025
"Inclusive Communities, Thriving Cities Programme | by UN-Habitat​",Sun Apr 20 23:43:21 UTC 2025
Our City Plans | by UN-Habitat,Sun Apr 20 23:43:16 UTC 2025
UN-Habitat Urban Lab,Sun Apr 20 23:42:45 UTC 2025
UNOPS,Sun Apr 20 23:42:28 UTC 2025
Bloomberg Harvard City Leadership Initiative,Sun Apr 20 21:39:39 UTC 2025
Bloomberg Center for Cities at Harvard University,Sun Apr 20 21:37:11 UTC 2025
NEOM,Wed Mar 12 05:08:33 UTC 2025
Revue Urbanisme,Sun Mar 09 17:33:46 UTC 2025
Society and Urban Form (SURF) Research Lab,Sat Mar 01 18:26:14 UTC 2025
14th International Space Syntax Symposium,Sat Mar 01 18:26:11 UTC 2025
TWIN2EXPAND,Sat Mar 01 18:25:38 UTC 2025
Hexagonal LAB / Foundation / Consulting,Thu Feb 13 17:34:51 UTC 2025
Institut Metròpoli | UAB,Sat Feb 08 20:32:41 UTC 2025
International Institute for Environment and Development (IIED),Sat Feb 08 20:32:34 UTC 2025
Anteverti,Sat Feb 08 20:32:04 UTC 2025
Ajuntament de Barcelona,Sat Feb 08 20:19:41 UTC 2025
"OECD Centre for Entrepreneurship, SMEs, Regions & Cities",Wed Feb 05 06:46:05 UTC 2025
United Nations Office for Disaster Risk Reduction (UNDRR),Wed Feb 05 06:44:12 UTC 2025
OECD - OCDE,Wed Feb 05 06:44:05 UTC 2025
Space Syntax,Tue Feb 04 21:49:08 UTC 2025
All Things Urban,Thu Jan 30 14:09:56 UTC 2025
EU of Opportunities,Thu Jan 30 14:09:53 UTC 2025
Eurocities,Thu Jan 30 14:09:42 UTC 2025
Springco Urban Analytics,Tue Dec 17 07:09:24 UTC 2024
Aretian Urban Analytics and Design,Tue Dec 17 07:09:07 UTC 2024
Architects Climate Action Network (ACAN),Wed Nov 20 18:01:02 UTC 2024
UK NZC Buildings Standard,Wed Nov 20 18:00:11 UTC 2024
Reusefully Ltd,Wed Nov 20 17:59:40 UTC 2024
Recursos Urbans,Wed Nov 20 17:59:07 UTC 2024
Davos Baukultur Alliance,Sun Nov 03 20:16:54 UTC 2024
Urban Agenda for the EU,Sun Nov 03 20:14:52 UTC 2024
JPI Urban Europe,Sun Nov 03 20:14:35 UTC 2024
City Diplomacy Lab,Sun Nov 03 19:12:17 UTC 2024
Cities@Heart,Sun Nov 03 19:09:44 UTC 2024
URBACT,Sun Nov 03 19:09:38 UTC 2024
Universitat Politècnica de Catalunya (UPC),Sat Oct 19 21:44:58 UTC 2024
Esri,Sun Sep 22 14:48:19 UTC 2024
MIT Media Lab,Sun Sep 22 14:48:18 UTC 2024
Xiji Incubator,Tue Sep 17 14:30:40 UTC 2024
Centre for Liveable Cities,Sun Jul 28 22:26:01 UTC 2024
Cities Alliance,Sun Jul 28 22:25:57 UTC 2024
Women In Urbanism,Sun Jul 28 22:25:53 UTC 2024
IJURR Foundation,Sun Jul 28 22:25:17 UTC 2024
LSE Cities,Sun Jul 28 22:23:58 UTC 2024
CITIES FORUM,Sun Jul 28 22:23:46 UTC 2024
C40 Cities,Sun Jul 28 22:23:08 UTC 2024
United Nations Careers,Sun Jul 28 22:22:38 UTC 2024
International Careers Updates,Sun Jul 28 22:22:37 UTC 2024
UN Jobs,Sun Jul 28 22:22:37 UTC 2024
Global Opportunities Network,Sun Jul 28 22:21:48 UTC 2024
Resilient Cities Network,Sun Jul 28 22:26:01 UTC 2024
"RMIT School of Global, Urban and Social Studies",Sun Jul 28 22:20:37 UTC 2024
African Centre for Cities,Sun Jul 28 22:20:13 UTC 2024
Urban Resilience Dialogues,Sun Jul 28 22:21:15 UTC 2024
"The Bartlett Development Planning Unit, UCL",Sun Jul 28 22:19:32 UTC 2024
Melbourne Centre for Cities,Sun Jul 28 22:19:05 UTC 2024
RMIT Centre for Urban Research,Sun Jul 28 22:18:59 UTC 2024
RMIT Europe,Sun Jul 28 22:18:06 UTC 2024
Urban Design Lab,Sun Jul 28 22:16:02 UTC 2024
UN-Habitat (United Nations Human Settlements Programme),Sun Jul 28 22:14:53 UTC 2024
RAFAEL DE LA-HOZ Arquitectos,Mon May 27 20:48:07 UTC 2024
同济大学,Sat Apr 27 14:25:15 UTC 2024
"TRANSyT-UPM, Centro de Investigación del Transporte",Tue Apr 23 17:14:07 UTC 2024
The London School of Economics and Political Science (LSE),Fri Mar 29 15:59:53 UTC 2024
Urbanistan,Wed Mar 27 18:51:59 UTC 2024
Urban AI,Wed Mar 27 18:51:50 UTC 2024
Data Urbana,Wed Mar 27 18:51:45 UTC 2024
trescientosmil,Wed Mar 27 18:51:17 UTC 2024
Urban Resilience Hub by UN-Habitat's CRGP,Tue Mar 12 22:24:36 UTC 2024
Lacol,Thu Feb 29 07:52:53 UTC 2024
SUMA arquitectura,Tue Feb 27 18:35:11 UTC 2024
MIAUTICS,Tue Feb 27 14:17:33 UTC 2024
Gensler,Sun Feb 25 11:48:28 UTC 2024
RPBW Renzo Piano Building Workshop,Sun Feb 25 11:44:58 UTC 2024
David Chipperfield Architects,Sun Feb 25 11:48:34 UTC 2024
Arup,Sun Feb 25 11:44:49 UTC 2024
El Croquis. Revista Internacional de Arquitectura,Tue Feb 20 11:44:09 UTC 2024
Nieto Sobejano Arquitectos,Tue Feb 20 11:41:41 UTC 2024
Herzog & de Meuron,Tue Feb 20 07:12:04 UTC 2024
MVRDV,Tue Feb 20 07:06:14 UTC 2024
BIG - Bjarke Ingels Group,Tue Feb 20 07:06:13 UTC 2024
OMA,Tue Feb 20 07:06:13 UTC 2024
METROPOLI,Sun Feb 18 00:26:04 UTC 2024
ACCIONA,Thu Feb 15 19:48:09 UTC 2024
Foster + Partners,Thu Feb 15 19:48:08 UTC 2024
United Nations,Thu Feb 15 19:46:47 UTC 2024
ICCROM,Thu Feb 15 19:44:32 UTC 2024
UNESCO,Thu Feb 15 19:44:22 UTC 2024
International Council on Monuments and Sites (ICOMOS),Thu Feb 15 19:44:07 UTC 2024
Patrimonio Nacional,Thu Feb 15 19:44:01 UTC 2024
The Institute Of Historic Building Conservation (IHBC),Thu Feb 15 19:42:37 UTC 2024
American Institute for Conservation & Foundation for Advancement in Conservation,Thu Feb 15 19:42:27 UTC 2024
Icon - The Institute of Conservation,Thu Feb 15 19:42:18 UTC 2024
ICOMOS-ESPAÑA (Comité Nacional Español de ICOMOS),Thu Feb 15 19:42:12 UTC 2024
Plataforma Patrimonio Abierto: Investigación y Sociedad,Thu Feb 15 19:42:03 UTC 2024
Plataforma del Tercer Sector,Thu Feb 15 19:41:47 UTC 2024
Fundación Arquia,Thu Feb 15 19:41:06 UTC 2024
HIC arquitectura,Thu Feb 15 19:41:03 UTC 2024
Col·legi d'Arquitectes de Catalunya - COAC,Thu Feb 15 19:41:02 UTC 2024
Colegio Oficial de Arquitectos de Madrid - COAM,Thu Feb 15 19:40:52 UTC 2024
Tectónica,Thu Feb 15 19:40:51 UTC 2024
Escola Sert,Thu Feb 15 19:40:46 UTC 2024
Asociación Provivienda,Thu Feb 15 19:30:57 UTC 2024
Norman Foster Foundation,Thu Feb 15 19:30:56 UTC 2024
UNS,Thu Feb 15 19:30:55 UTC 2024
Morph,Thu Feb 15 19:30:53 UTC 2024
HOGAR SÍ,Thu Feb 15 19:30:50 UTC 2024
Cano y Escario Arquitectura,Thu Feb 15 19:30:45 UTC 2024
Cabana | Architecture Studio,Thu Feb 15 19:30:45 UTC 2024
Snøhetta,Thu Feb 15 19:30:39 UTC 2024
n'UNDO,Thu Feb 15 19:30:33 UTC 2024
Grupo Tragsa,Thu Feb 15 19:30:27 UTC 2024
NOMO STUDIO,Thu Feb 15 19:25:34 UTC 2024
ERRE,Thu Feb 15 19:25:19 UTC 2024
Mesura,Thu Feb 15 19:25:09 UTC 2024
Zuloark,Thu Feb 15 19:25:07 UTC 2024
Laboqueria Arquitectura,Thu Feb 15 19:25:01 UTC 2024
Ecosistema Urbano,Thu Feb 15 19:24:53 UTC 2024
LandLAB_,Thu Feb 15 19:24:53 UTC 2024
Urbanbat,Thu Feb 15 19:24:51 UTC 2024
paisaje transversal,Thu Feb 15 19:24:16 UTC 2024
Ministerio de Vivienda y Agenda Urbana,Thu Feb 15 19:24:09 UTC 2024